RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           13     M =           12

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     2.500D+00  4.666D+03
    1    3     1     0  ---    1  1.4D-03  6.8D-03  1.760D+00  4.666D+03
    2    4     0     0  con    0  1.0D+00  3.4D-03  1.299D+00  4.666D+03
    3    5     0     0  con    0  1.0D+00  2.9D-03  7.882D-01  4.666D+03
    4    6     0     0  con    0  1.0D+00  1.3D-03  7.149D-01  4.666D+03
    5    7     0     0  con    0  1.0D+00  7.1D-03  7.707D-01  4.666D+03
    6    8     0     0  con    0  1.0D+00  1.2D-02  1.019D+00  4.666D+03
    7    9     0     0  con    0  1.0D+00  3.4D-02  1.590D+00  4.666D+03
    8   10     0     0  con    0  1.0D+00  7.3D-02  2.062D+00  4.666D+03
    9   11     0     0  con    0  1.0D+00  1.7D-01  3.592D+00  4.666D+03
   10   12     0     0  con    0  1.0D+00  6.7D-02  2.112D+00  4.666D+03
   11   13     0     0  con    0  1.0D+00  8.0D-02  1.238D+00  4.666D+03
   12   14     0     0  con    0  1.0D+00  3.8D-02  1.140D+00  4.666D+03
   13   15     0     0  con    0  1.0D+00  7.5D-02  1.203D+00  4.666D+03
   14   16     0     0  con    0  1.0D+00  1.5D-01  6.879D+00  4.666D+03
   15   17     0     0  con    0  1.0D+00  5.0D-02  2.214D+00  4.666D+03
   16   18     0     0  con    0  1.0D+00  1.7D-02  2.085D+00  4.666D+03
   17   19     0     0  con    0  1.0D+00  7.3D-02  2.319D+00  4.666D+03
   18   20     0     0  con    0  1.0D+00  3.9D-02  1.109D+00  4.666D+03
   19   21     0     0  con    0  1.0D+00  2.2D-02  1.024D+00  4.666D+03
   20   22     0     0  con    0  1.0D+00  1.3D-02  1.185D+00  4.666D+03
   21   23     0     0  con    0  1.0D+00  7.4D-03  9.832D-01  4.666D+03
   22   24     0     0  con    0  1.0D+00  1.3D-02  1.005D+00  4.666D+03
   23   25     0     0  con    0  1.0D+00  2.1D-02  1.056D+00  4.666D+03
   24   26     0     0  con    0  1.0D+00  3.5D-02  1.883D+00  4.666D+03
   25   27     0     0  con    0  1.0D+00  2.0D-02  6.057D-01  4.666D+03
   26   28     0     0  con    0  1.0D+00  8.0D-03  4.485D-01  4.666D+03
   27   29     0     0  con    0  1.0D+00  5.9D-03  4.515D-01  4.666D+03
   28   30     0     0  con    0  1.0D+00  1.4D-02  8.469D-01  4.666D+03
   29   31     0     0  con    0  1.0D+00  3.4D-02  1.274D+00  4.666D+03
   30   32     0     0  con    0  1.0D+00  7.4D-02  2.035D+00  4.666D+03
